invoice_id,fecha,cliente,producto,categoria,moneda,subtotal,impuesto,monto,metodo_pago,estado
F-1070,2025-06-19,Norte Constructora,Proyecto,Ingresos,CRC,3774.83,490.73,4265.56,Transferencia,Pagada
F-1073,2025-06-21,Luna Boutique,Implementación,Ingresos,CRC,1877.74,244.11,2121.85,SINPE,Pagada
F-1075,2025-06-25,Jade Imports,Implementación,Ingresos,CRC,896.62,116.56,1013.18,Efectivo,Pagada
F-1072,2025-06-25,Quantum Repair,Proyecto,Ingresos,CRC,3536.05,459.69,3995.74,Tarjeta,Pagada
F-1071,2025-06-26,Mar Azul,Implementación,Ingresos,CRC,978.12,127.16,1105.28,Transferencia,Pagada
F-1076,2025-06-26,Faro Tech,Capacitación,Ingresos,CRC,444.38,57.77,502.15,SINPE,Pagada
F-1083,2025-07-01,Luna Boutique,Servicio Mensual,Ingresos,CRC,568.02,73.84,641.86,Tarjeta,Pagada
F-1080,2025-07-04,Hotel Brisa,Servicio Mensual,Ingresos,CRC,334.52,43.49,378.01,Transferencia,Pagada
F-1077,2025-07-05,Delta Logistics,Servicio Mensual,Ingresos,CRC,439.06,57.08,496.14,SINPE,Pagada
F-1079,2025-07-05,Innova Studio,Soporte Técnico,Ingresos,CRC,148.02,19.24,167.26,Tarjeta,Pagada
F-1082,2025-07-07,Café Central,Soporte Técnico,Ingresos,CRC,239.9,31.19,271.09,Tarjeta,Pagada
F-1078,2025-07-08,Alfa Comercial,Servicio Mensual,Ingresos,CRC,469.13,60.99,530.12,Tarjeta,Pagada
F-1081,2025-07-08,Quantum Repair,Servicio Mensual,Ingresos,CRC,448.5,58.3,506.8,Tarjeta,Pagada
F-1084,2025-07-09,Beta Services,Soporte Técnico,Ingresos,CRC,135.07,17.56,152.63,Tarjeta,Pagada
F-1085,2025-07-12,Órbita Media,Capacitación,Ingresos,CRC,560.52,72.87,633.39,SINPE,Pagada
F-1087,2025-07-22,Pura Vida Tours,Capacitación,Ingresos,CRC,608.51,79.11,687.62,SINPE,Pagada
F-1086,2025-07-24,Órbita Media,Capacitación,Ingresos,CRC,653.42,84.94,738.36,Tarjeta,Pagada
F-1090,2025-08-02,Innova Studio,Servicio Mensual,Ingresos,CRC,335.81,43.66,379.47,Efectivo,Pagada
F-1091,2025-08-04,Hotel Brisa,Servicio Mensual,Ingresos,CRC,433.5,56.36,489.86,SINPE,Pagada
F-1089,2025-08-05,Alfa Comercial,Servicio Mensual,Ingresos,CRC,380.53,49.47,430.0,SINPE,Pagada
F-1094,2025-08-06,Luna Boutique,Soporte Técnico,Ingresos,CRC,346.04,44.99,391.03,Efectivo,Pagada
F-1092,2025-08-07,Quantum Repair,Servicio Mensual,Ingresos,CRC,356.53,46.35,402.88,Efectivo,Pagada
F-1088,2025-08-09,Delta Logistics,Soporte Técnico,Ingresos,CRC,308.02,40.04,348.06,SINPE,Pagada
F-1095,2025-08-09,Beta Services,Servicio Mensual,Ingresos,CRC,460.64,59.88,520.52,SINPE,Pagada
F-1093,2025-08-10,Café Central,Servicio Mensual,Ingresos,CRC,596.99,77.61,674.6,Efectivo,Pagada
F-1097,2025-08-12,Órbita Media,Proyecto,Ingresos,CRC,2662.61,346.14,3008.75,Transferencia,Pagada
F-1096,2025-08-18,Mar Azul,Proyecto,Ingresos,CRC,3141.17,408.35,3549.52,Tarjeta,Pagada
F-1098,2025-08-21,Café Central,Implementación,Ingresos,CRC,1640.22,213.23,1853.45,SINPE,Pendiente
F-1101,2025-09-02,Innova Studio,Soporte Técnico,Ingresos,CRC,140.91,18.32,159.23,Transferencia,Pagada
F-1106,2025-09-03,Beta Services,Soporte Técnico,Ingresos,CRC,170.72,22.19,192.91,Transferencia,Pagada
F-1103,2025-09-04,Quantum Repair,Servicio Mensual,Ingresos,CRC,661.38,85.98,747.36,Tarjeta,Pagada
F-1105,2025-09-05,Luna Boutique,Soporte Técnico,Ingresos,CRC,190.78,24.8,215.58,Transferencia,Pagada
F-1102,2025-09-06,Hotel Brisa,Servicio Mensual,Ingresos,CRC,583.02,75.79,658.81,Transferencia,Pagada
F-1100,2025-09-07,Alfa Comercial,Soporte Técnico,Ingresos,CRC,387.08,50.32,437.4,Efectivo,Pagada
F-1099,2025-09-07,Delta Logistics,Soporte Técnico,Ingresos,CRC,205.52,26.72,232.24,SINPE,Pagada
F-1104,2025-09-08,Café Central,Servicio Mensual,Ingresos,CRC,547.31,71.15,618.46,Tarjeta,Pagada
F-1113,2025-09-15,Krypton Gym,Implementación,Ingresos,CRC,1046.88,136.09,1182.97,Efectivo,Pagada
F-1108,2025-09-17,Delta Logistics,Proyecto,Ingresos,CRC,3227.12,419.53,3646.65,Transferencia,Pendiente
F-1107,2025-09-20,Mar Azul,Proyecto,Ingresos,CRC,1741.03,226.33,1967.36,Tarjeta,Pagada
F-1110,2025-09-21,Alfa Comercial,Capacitación,Ingresos,CRC,268.98,34.97,303.95,Efectivo,Pagada
F-1111,2025-09-21,Eco Market,Implementación,Ingresos,CRC,1658.22,215.57,1873.79,SINPE,Pagada
F-1112,2025-09-25,TropiFood,Capacitación,Ingresos,CRC,498.38,64.79,563.17,SINPE,Pagada
F-1109,2025-09-25,Luna Boutique,Capacitación,Ingresos,CRC,623.92,81.11,705.03,SINPE,Pendiente
F-1115,2025-10-03,Alfa Comercial,Soporte Técnico,Ingresos,CRC,205.67,26.74,232.41,SINPE,Pagada
F-1117,2025-10-07,Hotel Brisa,Soporte Técnico,Ingresos,CRC,320.94,41.72,362.66,Tarjeta,Pagada
F-1119,2025-10-07,Café Central,Servicio Mensual,Ingresos,CRC,440.49,57.26,497.75,SINPE,Pagada
F-1121,2025-10-08,Beta Services,Soporte Técnico,Ingresos,CRC,237.43,30.87,268.3,Tarjeta,Pagada
F-1118,2025-10-08,Quantum Repair,Soporte Técnico,Ingresos,CRC,400.83,52.11,452.94,Transferencia,Pagada
F-1120,2025-10-09,Luna Boutique,Soporte Técnico,Ingresos,CRC,277.37,36.06,313.43,SINPE,Pagada
F-1114,2025-10-10,Delta Logistics,Soporte Técnico,Ingresos,CRC,247.43,32.17,279.6,Efectivo,Pagada
F-1116,2025-10-10,Innova Studio,Soporte Técnico,Ingresos,CRC,321.15,41.75,362.9,Tarjeta,Pendiente
F-1122,2025-10-11,Krypton Gym,Proyecto,Ingresos,CRC,2988.55,388.51,3377.06,Tarjeta,Pagada
F-1125,2025-10-12,Río Verde,Capacitación,Ingresos,CRC,230.66,29.99,260.65,SINPE,Pendiente
F-1123,2025-10-14,Grupo Horizonte,Proyecto,Ingresos,CRC,2797.6,363.69,3161.29,SINPE,Pagada
F-1124,2025-10-14,Delta Logistics,Capacitación,Ingresos,CRC,346.83,45.09,391.92,Transferencia,Pendiente
F-1129,2025-11-02,Hotel Brisa,Servicio Mensual,Ingresos,CRC,376.48,48.94,425.42,SINPE,Pendiente
F-1126,2025-11-03,Delta Logistics,Soporte Técnico,Ingresos,CRC,168.87,21.95,190.82,Transferencia,Pagada
F-1130,2025-11-04,Quantum Repair,Servicio Mensual,Ingresos,CRC,544.87,70.83,615.7,Efectivo,Pagada
F-1128,2025-11-05,Innova Studio,Soporte Técnico,Ingresos,CRC,172.73,22.45,195.18,Transferencia,Pagada
F-1135,2025-11-08,Faro Tech,Capacitación,Ingresos,CRC,489.2,63.6,552.8,SINPE,Pagada
F-1132,2025-11-08,Luna Boutique,Soporte Técnico,Ingresos,CRC,423.42,55.04,478.46,Efectivo,Pagada
F-1127,2025-11-08,Alfa Comercial,Soporte Técnico,Ingresos,CRC,282.4,36.71,319.11,Tarjeta,Pagada
F-1133,2025-11-10,Beta Services,Servicio Mensual,Ingresos,CRC,566.23,73.61,639.84,Transferencia,Pagada
F-1131,2025-11-10,Café Central,Servicio Mensual,Ingresos,CRC,635.05,82.56,717.61,Efectivo,Pagada
F-1136,2025-11-15,Beta Services,Capacitación,Ingresos,CRC,652.92,84.88,737.8,Efectivo,Pagada
F-1137,2025-11-15,Café Central,Capacitación,Ingresos,CRC,704.55,91.59,796.14,Tarjeta,Pagada
F-1134,2025-11-16,Grupo Horizonte,Proyecto,Ingresos,CRC,1308.07,170.05,1478.12,Transferencia,Pendiente
F-1143,2025-12-01,Café Central,Servicio Mensual,Ingresos,CRC,364.7,47.41,412.11,Transferencia,Pagada
F-1139,2025-12-03,Alfa Comercial,Servicio Mensual,Ingresos,CRC,302.07,39.27,341.34,SINPE,Pagada
F-1144,2025-12-05,Luna Boutique,Servicio Mensual,Ingresos,CRC,562.35,73.11,635.46,Tarjeta,Pagada
F-1138,2025-12-07,Delta Logistics,Servicio Mensual,Ingresos,CRC,481.49,62.59,544.08,Tarjeta,Pagada
F-1141,2025-12-07,Hotel Brisa,Soporte Técnico,Ingresos,CRC,270.14,35.12,305.26,Efectivo,Pagada
F-1145,2025-12-08,Beta Services,Soporte Técnico,Ingresos,CRC,174.45,22.68,197.13,Efectivo,Pagada
F-1148,2025-12-09,Río Verde,Capacitación,Ingresos,CRC,230.19,29.92,260.11,Transferencia,Pagada
F-1140,2025-12-10,Innova Studio,Soporte Técnico,Ingresos,CRC,251.75,32.73,284.48,Efectivo,Pagada
F-1142,2025-12-10,Quantum Repair,Servicio Mensual,Ingresos,CRC,609.09,79.18,688.27,SINPE,Pagada
F-1150,2025-12-14,Beta Services,Proyecto,Ingresos,CRC,2093.87,272.2,2366.07,Efectivo,Pagada
F-1151,2025-12-14,Beta Services,Capacitación,Ingresos,CRC,493.06,64.1,557.16,Efectivo,Pagada
F-1147,2025-12-18,Faro Tech,Capacitación,Ingresos,CRC,575.39,74.8,650.19,Efectivo,Pagada
F-1146,2025-12-23,Café Central,Capacitación,Ingresos,CRC,412.76,53.66,466.42,Transferencia,Pagada
F-1149,2025-12-24,Mar Azul,Implementación,Ingresos,CRC,1389.19,180.59,1569.78,Efectivo,Pagada
